Timestamp (UTC),Value (in),Grade Code,Interpolation Type,Event Timestamp
3/27/2021 0:00,0.01,-1,5,3/26/2021 0:00
3/28/2021 0:00,0,-1,5,3/27/2021 0:00
3/29/2021 0:00,NaN,-2,5,3/28/2021 0:00
3/30/2021 0:00,NaN,-2,5,3/29/2021 0:00
3/31/2021 0:00,NaN,-2,5,3/30/2021 0:00
4/1/2021 0:00,0,-1,5,3/31/2021 0:00
4/2/2021 0:00,0.3,-1,5,4/1/2021 0:00
4/3/2021 0:00,0,-1,5,4/2/2021 0:00
4/4/2021 0:00,0,-1,5,4/3/2021 0:00
4/5/2021 0:00,0,-1,5,4/4/2021 0:00
4/6/2021 0:00,0,-1,5,4/5/2021 0:00
4/7/2021 0:00,0,-1,5,4/6/2021 0:00
4/8/2021 0:00,0,-1,5,4/7/2021 0:00
4/9/2021 0:00,0,-1,5,4/8/2021 0:00
4/10/2021 0:00,0.56,0,5,4/9/2021 0:00
4/11/2021 0:00,NaN,-2,5,4/10/2021 0:00
4/12/2021 0:00,NaN,-2,5,4/11/2021 0:00
4/13/2021 0:00,NaN,-2,5,4/12/2021 0:00
4/14/2021 0:00,NaN,-2,5,4/13/2021 0:00
4/15/2021 0:00,NaN,-2,5,4/14/2021 0:00
4/16/2021 0:00,NaN,-2,5,4/15/2021 0:00
4/17/2021 0:00,NaN,-2,5,4/16/2021 0:00
4/18/2021 0:00,0.47,-1,5,4/17/2021 0:00
4/19/2021 0:00,0.65,-1,5,4/18/2021 0:00
4/20/2021 0:00,0.01,-1,5,4/19/2021 0:00
4/21/2021 0:00,0,-1,5,4/20/2021 0:00
4/22/2021 0:00,0,-1,5,4/21/2021 0:00
4/23/2021 0:00,0,-1,5,4/22/2021 0:00
4/24/2021 0:00,0,-1,5,4/23/2021 0:00
4/25/2021 0:00,0.01,-1,5,4/24/2021 0:00
4/26/2021 0:00,0,-1,5,4/25/2021 0:00
4/27/2021 0:00,0,-1,5,4/26/2021 0:00
4/28/2021 0:00,0,-1,5,4/27/2021 0:00
4/29/2021 0:00,0,-1,5,4/28/2021 0:00
4/30/2021 0:00,0,-1,5,4/29/2021 0:00
5/1/2021 0:00,0,-1,5,4/30/2021 0:00
5/2/2021 0:00,0,-1,5,5/1/2021 0:00
5/3/2021 0:00,0,-1,5,5/2/2021 0:00
5/4/2021 0:00,0,-1,5,5/3/2021 0:00
5/5/2021 0:00,0.04,-1,5,5/4/2021 0:00
5/6/2021 0:00,0.22,-1,5,5/5/2021 0:00
5/7/2021 0:00,0,-1,5,5/6/2021 0:00
5/8/2021 0:00,0,-1,5,5/7/2021 0:00
5/9/2021 0:00,0,-1,5,5/8/2021 0:00
5/10/2021 0:00,0,-1,5,5/9/2021 0:00
5/11/2021 0:00,0,-1,5,5/10/2021 0:00
5/12/2021 0:00,0.02,-1,5,5/11/2021 0:00
5/13/2021 0:00,0.4,-1,5,5/12/2021 0:00
5/14/2021 0:00,0.31,-1,5,5/13/2021 0:00
5/15/2021 0:00,0,-1,5,5/14/2021 0:00
5/16/2021 0:00,0,-1,5,5/15/2021 0:00
5/17/2021 0:00,0,-1,5,5/16/2021 0:00
5/18/2021 0:00,0,-1,5,5/17/2021 0:00
5/19/2021 0:00,0.01,-1,5,5/18/2021 0:00
5/20/2021 0:00,0,-1,5,5/19/2021 0:00
5/21/2021 0:00,0,-1,5,5/20/2021 0:00
5/22/2021 0:00,0,-1,5,5/21/2021 0:00
5/23/2021 0:00,0,-1,5,5/22/2021 0:00
5/24/2021 0:00,0,-1,5,5/23/2021 0:00
5/25/2021 0:00,0,-1,5,5/24/2021 0:00
5/26/2021 0:00,0,-1,5,5/25/2021 0:00
5/27/2021 0:00,0,-1,5,5/26/2021 0:00
5/28/2021 0:00,0,-1,5,5/27/2021 0:00
5/29/2021 0:00,0,-1,5,5/28/2021 0:00
5/30/2021 0:00,0.12,-1,5,5/29/2021 0:00
5/31/2021 0:00,0,-1,5,5/30/2021 0:00
6/1/2021 0:00,0,-1,5,5/31/2021 0:00
6/2/2021 0:00,0,-1,5,6/1/2021 0:00
6/3/2021 0:00,0,-1,5,6/2/2021 0:00
6/4/2021 0:00,0,-1,5,6/3/2021 0:00
6/5/2021 0:00,0,-1,5,6/4/2021 0:00
6/6/2021 0:00,0,-1,5,6/5/2021 0:00
6/7/2021 0:00,0,-1,5,6/6/2021 0:00
6/8/2021 0:00,0.33,-1,5,6/7/2021 0:00
6/9/2021 0:00,0.22,-1,5,6/8/2021 0:00
6/10/2021 0:00,0,-1,5,6/9/2021 0:00
6/11/2021 0:00,NaN,-2,5,6/10/2021 0:00
6/12/2021 0:00,NaN,-2,5,6/11/2021 0:00
6/13/2021 0:00,NaN,-2,5,6/12/2021 0:00
6/14/2021 0:00,NaN,-2,5,6/13/2021 0:00
6/15/2021 0:00,NaN,-2,5,6/14/2021 0:00
6/16/2021 0:00,NaN,-2,5,6/15/2021 0:00
6/17/2021 0:00,NaN,-2,5,6/16/2021 0:00
6/18/2021 0:00,NaN,-2,5,6/17/2021 0:00
6/19/2021 0:00,NaN,-2,5,6/18/2021 0:00
6/20/2021 0:00,NaN,-2,5,6/19/2021 0:00
6/21/2021 0:00,NaN,-2,5,6/20/2021 0:00
6/22/2021 0:00,NaN,-2,5,6/21/2021 0:00
6/23/2021 0:00,NaN,-2,5,6/22/2021 0:00
6/24/2021 0:00,NaN,-2,5,6/23/2021 0:00
6/25/2021 0:00,NaN,-2,5,6/24/2021 0:00
6/26/2021 0:00,NaN,-2,5,6/25/2021 0:00
6/27/2021 0:00,0,-1,5,6/26/2021 0:00
6/28/2021 0:00,0,-1,5,6/27/2021 0:00
6/29/2021 0:00,0,-1,5,6/28/2021 0:00
6/30/2021 0:00,0.04,-1,5,6/29/2021 0:00
7/1/2021 0:00,0.08,-1,5,6/30/2021 0:00
7/2/2021 0:00,0,-1,5,7/1/2021 0:00
7/3/2021 0:00,0.05,-1,5,7/2/2021 0:00
7/4/2021 0:00,0.01,-1,5,7/3/2021 0:00
7/5/2021 0:00,0.07,-1,5,7/4/2021 0:00
7/6/2021 0:00,0.1,-1,5,7/5/2021 0:00
7/7/2021 0:00,0,0,5,7/6/2021 0:00
7/8/2021 0:00,0.28,-1,5,7/7/2021 0:00
7/9/2021 0:00,0.02,-1,5,7/8/2021 0:00
7/10/2021 0:00,0.02,-1,5,7/9/2021 0:00
7/11/2021 0:00,0.01,-1,5,7/10/2021 0:00
7/12/2021 0:00,0,-1,5,7/11/2021 0:00
7/13/2021 0:00,0,-1,5,7/12/2021 0:00
7/14/2021 0:00,0,-1,5,7/13/2021 0:00
7/15/2021 0:00,0,-1,5,7/14/2021 0:00
7/16/2021 0:00,0,-1,5,7/15/2021 0:00
7/17/2021 0:00,0,-1,5,7/16/2021 0:00
7/18/2021 0:00,0.01,-1,5,7/17/2021 0:00
7/19/2021 0:00,0.06,-1,5,7/18/2021 0:00
7/20/2021 0:00,0.09,-1,5,7/19/2021 0:00
7/21/2021 0:00,0.12,-1,5,7/20/2021 0:00
7/22/2021 0:00,0.08,-1,5,7/21/2021 0:00
7/23/2021 0:00,0,-1,5,7/22/2021 0:00
7/24/2021 0:00,0.35,-1,5,7/23/2021 0:00
7/25/2021 0:00,0,-1,5,7/24/2021 0:00
7/26/2021 0:00,0,-1,5,7/25/2021 0:00
7/27/2021 0:00,0,-1,5,7/26/2021 0:00
7/28/2021 0:00,0,-1,5,7/27/2021 0:00
7/29/2021 0:00,0,-1,5,7/28/2021 0:00
7/30/2021 0:00,0,0,5,7/29/2021 0:00
7/31/2021 0:00,0,-1,5,7/30/2021 0:00
8/1/2021 0:00,NaN,-2,5,7/31/2021 0:00
8/2/2021 0:00,NaN,-2,5,8/1/2021 0:00
8/3/2021 0:00,0,-1,5,8/2/2021 0:00
8/4/2021 0:00,0.04,-1,5,8/3/2021 0:00
8/5/2021 0:00,NaN,-2,5,8/4/2021 0:00
8/6/2021 0:00,0.01,-1,5,8/5/2021 0:00
8/7/2021 0:00,0,0,5,8/6/2021 0:00
8/8/2021 0:00,NaN,-2,5,8/7/2021 0:00
