,Datetime,RecordNumber,Batt_V,PTemp_C,Flux_Wattspersqrmeter,Raw_flux_milivolts,cs_temp,x_or,y_or,z_or,PRESSURE_mbar,Temp_C,RelHumidity,WindSpeed_mPers,WindDir_0North,Rain_mmTotal,TEMP_C,PRESSURE_mmhg,VOLTAGE,DEPTH_m,DISOLVEDO2_%sat,PH,SPECIFICCONDUCTIVITY_milisiemensPercm,SPECIFICGRAVITY,TOTALDISSOLVEDSOLIDS_gramPerLiter,na,uncorrected_depth,Gauge_pressure_diff_mbar,Gauge_depth_meters
18,2022-01-03 04:30:00,3004085.5,12.333444444444448,12.730333333333336,-4.303733333333334,-0.20748888888888872,5.4611777777777775,1.0407,-0.7709333333333335,-1.5096111111111115,1011.7318115234376,7.113855555555556,78.0143333333333,2.393333333333333,246.64483333333354,0.0,25.25628051757813,768.0,5.96785167058309,2.3458029747009284,0.0,6.293523025512696,0.187662410736084,0.9970867435137429,0.12010394036769867,0.0,20.935802974700927,12.184123823762173,21.060046460741138
19,2022-01-03 04:45:00,3004175.5,12.321444444444442,12.547444444444432,-2.4059555555555554,-0.11608888888888894,5.492444444444445,1.0190000000000001,-0.5587333333333334,-2.029922222222223,1011.7318115234376,6.816866666666675,77.74433333333334,2.8969444444444448,245.55022222222223,0.0,25.257177734375,768.0,5.9702935218811035,2.348958746592204,0.0,6.2906114260355634,0.18769454459349316,0.99708651304245,0.12012450595696768,0.0,20.938958746592203,12.184123823762173,21.063202232632413
20,2022-01-03 05:00:00,3004265.5,12.318111111111108,12.50633333333332,-1.688055555555556,-0.08142222222222224,5.5665333333333304,1.138077777777778,-0.8922,-2.122522222222223,1012.950927734375,6.761699999999998,78.51033333333334,2.6966666666666668,246.05681111111113,0.0,25.25618082682292,768.0,5.969072596232097,2.335586754480998,0.0,6.2940025011698415,0.1876634081204732,0.9970867673556009,0.12010457863410312,0.0,20.925586754480996,10.965007612824976,21.037398714863237
21,2022-01-03 05:15:00,3004355.5,12.315444444444436,12.46766666666668,-2.297533333333333,-0.11077777777777782,5.424355555555556,1.0766444444444445,-0.7309777777777776,-1.4011000000000002,1012.950927734375,6.567999999999995,78.06922222222222,1.7430555555555558,202.28088888888882,0.0,25.25737711588541,768.0,5.966630744934082,2.3402878761291506,0.0,6.289631017049153,0.18758027950922648,0.997086481253306,0.12005137503147124,0.0,20.93028787612915,10.965007612824976,21.04209983651139
22,2022-01-03 05:30:00,3004445.5,12.305222222222213,12.278888888888885,-2.994566666666666,-0.14438888888888884,4.872355555555557,1.2496222222222222,-1.072966666666667,-1.9964888888888883,1012.950927734375,5.961066666666667,76.89877777777777,3.0341666666666667,233.86411111111119,0.0,25.25618082682292,768.0,5.967851670583088,2.345090119043986,0.0,6.291669972737631,0.18751791218916572,0.9970866680145264,0.12001146127780278,0.0,20.935090119043984,10.965007612824976,21.046902079426225
23,2022-01-03 05:45:00,3004535.5,12.302222222222213,11.788222222222219,-2.8102444444444448,-0.1355444444444444,4.0140666666666664,1.1144555555555558,-0.8233999999999999,-2.176466666666665,1012.950927734375,5.165422222222223,76.6157777777778,3.355888888888888,247.42413333333337,0.0,25.256978352864586,768.0,5.967851670583088,2.3424451192220053,0.0,6.29235315322876,0.18744166592756908,0.9970864375432332,0.11996266295512514,0.0,20.932445119222006,10.965007612824976,21.044257079604247
24,2022-01-03 06:00:00,3004625.5,12.296222222222205,11.259111111111114,-3.259644444444445,-0.15718888888888893,3.815433333333335,1.1779777777777778,-1.0951,-1.7611444444444448,1014.3125,5.069066666666669,77.04600000000002,2.2800000000000002,230.37611111111104,0.0,25.25558268229167,768.0,5.9702935218811035,2.353149668375651,0.0,6.290615145365398,0.1874664694070816,0.9970867753028868,0.11997853815555573,0.0,20.94314966837565,9.603435347199902,21.0410774556139
25,2022-01-03 06:15:00,3004715.5,12.289999999999988,10.880777777777778,-4.826955555555555,-0.2328333333333333,3.47841111111111,1.0924888888888888,-0.8087444444444442,-1.6041333333333339,1014.3125,4.930277777777776,76.77577777777782,2.2111111111111112,224.82547777777776,0.0,25.25638020833333,768.0,5.9702935218811035,2.367449156443278,0.0,6.290570131937662,0.18754976292451225,0.9970868309338888,0.1200318455696106,0.0,20.95744915644328,9.603435347199902,21.05537694368153
26,2022-01-03 06:30:00,3004805.5,12.287999999999982,10.523000000000001,-3.3646333333333334,-0.1622555555555555,3.3660222222222216,0.9726111111111111,-0.6682444444444443,-1.3536444444444453,1014.3125,4.808500000000003,76.96277777777777,1.9372222222222224,246.13263333333336,0.0,25.25651550292969,768.0,5.9702935218811035,2.358330147606986,0.0,6.291120086397443,0.1875344482915742,0.9970867420945848,0.1200220441179616,0.0,20.948330147606985,9.603435347199902,21.046257934845237
27,2022-01-03 06:45:00,3004895.5,12.282888888888879,10.353333333333342,-3.026422222222221,-0.1459222222222222,3.4307666666666656,1.0331666666666661,-0.6490111111111111,-1.394088888888889,1014.3125,4.772811111111113,77.09988888888891,1.8963888888888893,243.73416666666677,0.0,25.25608113606771,768.0,5.96785167058309,2.370617898305257,0.0,6.2930673917134605,0.18747002283732095,0.9970868031183878,0.1199808120727539,0.0,20.96061789830526,9.603435347199902,21.058545685543507
28,2022-01-03 07:00:00,3004985.5,12.275999999999991,10.259666666666666,-2.350622222222223,-0.11333333333333337,3.3443999999999994,0.9367888888888884,-0.3921444444444445,-1.425144444444444,1015.3217163085938,4.5624333333333364,76.71911111111109,2.285277777777777,237.1583777777777,0.0,25.25618082682292,768.0,5.966630744934082,2.3602086385091146,0.0,6.291253503163656,0.18768613338470455,0.9970868666966756,0.12011912216742833,0.0,20.950208638509114,8.59421903860625,21.03784528342462
29,2022-01-03 07:15:00,3005075.5,12.270555555555546,10.15044444444444,-2.5158333333333336,-0.12128888888888889,3.178077777777777,1.0972111111111111,-0.8343666666666664,-1.5978222222222225,1015.3217163085938,4.321322222222225,76.7482222222222,2.412499999999999,230.8518777777778,0.0,25.25707804361979,768.0,5.969072596232097,2.354082155227661,0.0,6.292012786865233,0.18751204113165534,0.9970865845680236,0.12000770419836045,0.0,20.94408215522766,8.59421903860625,21.031718800143164
30,2022-01-03 07:30:00,3005165.5,12.269666666666659,9.998888888888896,-0.06377777777777774,-0.0030222222222222217,2.902722222222223,1.0180333333333331,-0.6767333333333332,-1.4792111111111117,1015.3217163085938,4.046177777777776,76.74411111111112,2.2266666666666675,235.03159999999994,0.0,25.256479899088546,768.0,5.967851670583088,2.3495880762736,0.0,6.295569547017416,0.1873452087243398,0.9970866401990256,0.1199009304245313,0.0,20.9395880762736,8.59421903860625,21.027224721189103
31,2022-01-03 07:45:00,3005255.5,12.2681111111111,9.893111111111105,4.690333333333335,0.22617777777777784,2.9449555555555555,1.0768888888888886,-0.8434555555555553,-1.5401555555555553,1015.3217163085938,4.021355555555555,76.66655555555556,1.888333333333333,226.74716666666666,0.0,25.25667928059896,768.0,5.969072596232097,2.365625540415446,0.0,6.296170743306477,0.1871636390686035,0.9970865726470948,0.11978472669919332,0.0,20.955625540415447,8.59421903860625,21.04326218533095
32,2022-01-03 08:00:00,3005345.5,12.267222222222216,9.846000000000009,8.737088888888888,0.4213555555555554,2.997166666666667,1.1337333333333333,-0.8805444444444444,-1.7827444444444445,1016.633544921875,3.971677777777776,76.76077777777778,2.455000000000001,249.96058888888902,0.0,25.25657958984375,768.0,5.96785167058309,2.3478454907735187,0.0,6.295416990915935,0.18731809258461,0.9970866322517395,0.11988357653220495,0.0,20.93784549077352,7.2823904253248415,21.01210520663291
33,2022-01-03 08:15:00,3005435.5,12.281444444444439,9.837000000000007,15.375777777777785,0.7413999999999998,3.1294111111111116,1.0418222222222218,-0.6462111111111111,-1.4370888888888889,1016.633544921875,4.015699999999997,76.73844444444444,2.0975,258.08912222222233,0.0,25.256479899088546,768.0,5.966630744934082,2.36225856145223,0.0,6.291865952809652,0.18738989035288486,0.9970866878827412,0.11992952773968378,0.0,20.95225856145223,7.2823904253248415,21.02651827731162
34,2022-01-03 08:30:00,3005525.5,12.285888888888877,9.865222222222213,22.74244444444444,1.0966444444444443,3.307377777777777,1.0947111111111112,-0.8064000000000001,-1.4805111111111111,1016.633544921875,4.070277777777782,76.92588888888889,1.9736111111111112,234.9501999999999,0.0,25.25727742513021,768.0,5.969072596232097,2.3731886863708502,0.0,6.291611131032307,0.1873143881559372,0.997086517016093,0.11988120625416435,0.0,20.96318868637085,7.2823904253248415,21.03744840223024
35,2022-01-03 08:45:00,3005615.5,12.29399999999999,9.951333333333332,29.624777777777783,1.4285666666666665,3.5252555555555545,1.1046111111111105,-0.8512888888888889,-1.4551888888888893,1016.633544921875,4.101011111111115,77.0701111111111,1.7105555555555558,249.903,0.0,25.256978352864586,768.0,5.969072596232097,2.386883815129598,0.0,6.289882882436117,0.18763726552327475,0.9970867713292441,0.12008784711360933,0.0,20.976883815129597,7.2823904253248415,21.051143530988988
36,2022-01-03 09:00:00,3005705.5,12.310888888888885,10.050777777777789,37.68144444444444,1.817044444444444,3.6562333333333337,1.092277777777777,-0.6985444444444446,-1.419111111111111,1018.12646484375,4.114111111111116,77.33344444444447,1.9505555555555552,249.87720000000004,0.0,25.25677897135417,768.0,5.969072596232097,2.36695187886556,0.0,6.294766267140705,0.18754876057306927,0.9970867514610292,0.12003120481967924,0.0,20.95695187886556,5.7894705034498335,21.015988048234814
37,2022-01-03 09:15:00,3005795.5,12.347000000000005,10.173555555555561,54.348777777777784,2.6206333333333336,3.8771222222222232,1.0439888888888889,-0.7254999999999998,-1.7318777777777778,1018.12646484375,4.120188888888892,77.38155555555558,2.2169444444444446,249.6314777777777,0.0,25.25667928059896,768.0,5.96785167058309,2.3871697107950847,0.0,6.2959546407063804,0.18738425274689996,0.9970867037773132,0.11992591967185337,0.0,20.977169710795085,5.7894705034498335,21.03620588016434
38,2022-01-03 09:30:00,3005885.5,12.391888888888886,10.318999999999999,60.908444444444434,2.9370333333333325,4.072988888888888,1.0762444444444443,-0.6547666666666667,-1.4537444444444443,1018.12646484375,4.1468,77.51822222222225,2.3169444444444447,247.34162222222218,0.0,25.25638020833333,768.0,5.969072596232097,2.385855070749918,0.0,6.2977107365926095,0.1874471108118693,0.9970867832501731,0.11996614933013915,0.0,20.97585507074992,5.7894705034498335,21.034891240119173
39,2022-01-03 09:45:00,3005975.5,12.389444444444448,10.405555555555564,58.22,2.8073333333333332,4.085633333333335,1.0577000000000003,-0.8297777777777775,-1.5193666666666665,1018.12646484375,4.121155555555556,77.6238888888889,2.1266666666666665,227.7969111111111,0.0,25.25588175455729,768.0,5.969072596232097,2.3899288972218837,0.0,6.293548488616944,0.18751116295655568,0.9970868984858196,0.12000714192787805,0.0,20.979928897221882,5.7894705034498335,21.038965066591135
40,2022-01-03 10:00:00,3006065.5,12.407111111111112,10.479111111111106,62.90900000000003,3.033433333333332,4.356022222222224,1.0845555555555562,-0.8428888888888892,-1.4233444444444445,1019.342041015625,4.272211111111109,77.61511111111109,1.4608333333333323,240.0890777777778,0.0,25.255482991536454,768.0,5.9702935218811035,2.385739278793335,0.0,6.292518361409504,0.18747122188409168,0.997087033589681,0.11998157898585002,0.0,20.975739278793334,4.573894331574794,21.022380020856883
